support,itemsets
0.9641144624903326,frozenset({'person'})
0.8213457076566125,frozenset({'tv'})
0.5488012374323279,frozenset({'chair'})
0.5272235112142305,frozenset({'train'})
0.3601701469450889,frozenset({'cup'})
0.3336426914153132,frozenset({'refrigerator'})
0.3177107501933488,frozenset({'clock'})
0.2944315545243619,frozenset({'dog'})
0.27525135344160867,frozenset({'cat'})
0.2585460170146945,frozenset({'car'})
0.2357308584686775,frozenset({'oven'})
0.22637277648878576,frozenset({'microwave'})
0.22064965197215777,frozenset({'bus'})
0.18035576179427687,frozenset({'cake'})
0.1634957463263728,frozenset({'vase'})
0.14895591647331788,frozenset({'teddy bear'})
0.14895591647331788,frozenset({'boat'})
0.11299303944315545,frozenset({'truck'})
0.10556844547563805,frozenset({'bowl'})
0.1048723897911833,frozenset({'couch'})
0.4951276102088167,frozenset({'cell phone'})
0.39164733178654293,frozenset({'bottle'})
0.3505800464037123,frozenset({'dining table'})
0.3503480278422274,frozenset({'book'})
0.18909512761020883,frozenset({'pizza'})
0.585769528228925,frozenset({'laptop'})
0.2522815158546017,frozenset({'bench'})
0.1520494972931168,frozenset({'donut'})
0.10587780355761794,frozenset({'umbrella'})
0.10533642691415314,frozenset({'suitcase'})
0.10471771075019334,frozenset({'bed'})
0.288553750966744,frozenset({'tie'})
0.1834493426140758,frozenset({'keyboard'})
0.12706883217324053,frozenset({'handbag'})
0.25823665893271464,frozenset({'potted plant'})
0.25668986852281517,frozenset({'remote'})
0.13758700696055684,frozenset({'broccoli'})
0.7954369682907966,"frozenset({'person', 'tv'})"
0.5439288476411446,"frozenset({'person', 'chair'})"
0.45390564578499615,"frozenset({'tv', 'chair'})"
0.30386697602474866,"frozenset({'chair', 'laptop'})"
0.4505800464037123,"frozenset({'person', 'tv', 'chair'})"
0.30146945088940447,"frozenset({'person', 'chair', 'laptop'})"
0.28762567672080436,"frozenset({'chair', 'tv', 'laptop'})"
0.2854601701469451,"frozenset({'person', 'chair', 'tv', 'laptop'})"
0.5030935808197989,"frozenset({'person', 'train'})"
0.4354215003866976,"frozenset({'tv', 'train'})"
0.27293116782675947,"frozenset({'chair', 'train'})"
0.3042536736272235,"frozenset({'laptop', 'train'})"
0.4157772621809745,"frozenset({'person', 'tv', 'train'})"
0.2696055684454756,"frozenset({'person', 'chair', 'train'})"
0.2245939675174014,"frozenset({'tv', 'chair', 'train'})"
0.1443155452436195,"frozenset({'chair', 'laptop', 'train'})"
0.22235112142304717,"frozenset({'person', 'tv', 'chair', 'train'})"
0.14276875483372004,"frozenset({'chair', 'person', 'laptop', 'train'})"
0.13720030935808197,"frozenset({'chair', 'tv', 'laptop', 'train'})"
0.13580819798917246,"frozenset({'person', 'chair', 'tv', 'laptop', 'train'})"
0.2880897138437742,"frozenset({'person', 'laptop', 'train'})"
0.28306264501160094,"frozenset({'tv', 'laptop', 'train'})"
0.2679040989945862,"frozenset({'person', 'tv', 'laptop', 'train'})"
0.3539056457849961,"frozenset({'cup', 'person'})"
0.2974477958236659,"frozenset({'cup', 'tv'})"
0.2242846094354215,"frozenset({'cup', 'chair'})"
0.16295436968290797,"frozenset({'cup', 'train'})"
0.2060324825986079,"frozenset({'cup', 'laptop'})"
0.1897138437741686,"frozenset({'cup', 'bottle'})"
0.19868522815158546,"frozenset({'cup', 'cell phone'})"
0.29327146171693735,"frozenset({'cup', 'person', 'tv'})"
0.22327919566898685,"frozenset({'cup', 'person', 'chair'})"
0.1888631090487239,"frozenset({'cup', 'tv', 'chair'})"
0.1883217324052591,"frozenset({'cup', 'person', 'tv', 'chair'})"
0.1597061098221191,"frozenset({'cup', 'person', 'train'})"
0.13665893271461718,"frozenset({'cup', 'tv', 'train'})"
0.13410672853828307,"frozenset({'cup', 'person', 'tv', 'train'})"
0.2017014694508894,"frozenset({'cup', 'person', 'laptop'})"
0.18994586233565353,"frozenset({'cup', 'tv', 'laptop'})"
0.122892498066512,"frozenset({'cup', 'chair', 'laptop'})"
0.1863109048723898,"frozenset({'cup', 'person', 'tv', 'laptop'})"
0.12242846094354215,"frozenset({'cup', 'chair', 'person', 'laptop'})"
0.11546790409899459,"frozenset({'cup', 'chair', 'tv', 'laptop'})"
0.11508120649651972,"frozenset({'person', 'cup', 'chair', 'tv', 'laptop'})"
